   j      e(j)         levid         stwt


  5.2608E-18 3.7327E-18 2.6475E-18 1.8773E-18 1.3309E-18 9.4339E-19 6.6868E-19
  4.7395E-19 3.3594E-19 2.3818E-19 1.6884E-19 1.1977E-19 8.4913E-20 6.0319E-20
 10000101.0900 -1.2708E-02  2.0309E-15  1.8110E-15  1.6150E-15  1.4405E-15
  1.2850E-15 1.1464E-15 1.0230E-15 9.1289E-16 8.1469E-16 7.2706E-16 6.4884E-16
  5.7903E-16 5.1673E-16 4.6115E-16 4.1160E-16 3.6742E-16 3.2803E-16 2.9292E-16
  2.6162E-16 2.3371E-16 2.0881E-16 1.8659E-16 1.6676E-16 1.4904E-16 1.3321E-16
  1.1906E-16 1.0641E-16 9.5105E-17 8.4988E-17 7.5929E-17 6.7808E-17 6.0518E-17
  5.3965E-17 4.8063E-17 4.2743E-17 3.8040E-17 3.5305E-17 4.3698E-17 9.5143E-17
  2.5055E-16 5.6701E-16 1.0397E-15 1.5799E-15 2.0572E-15 2.3657E-15 2.4632E-15
  2.3698E-15 2.1409E-15 1.8398E-15 1.5194E-15 1.2157E-15 9.4864E-16 7.2561E-16
  5.4627E-16 4.0611E-16 2.9888E-16 2.1823E-16 1.5834E-16 1.1429E-16 8.2175E-17
  5.8900E-17 4.2108E-17 3.0045E-17 2.1406E-17 1.5223E-17 1.0825E-17 7.6881E-18
  5.4569E-18 3.8713E-18 2.7454E-18 1.9463E-18 1.3795E-18 9.7764E-19 6.9273E-19
  4.9082E-19 3.4774E-19 2.4639E-19 1.7455E-19 1.2370E-19 8.7622E-20 6.2140E-20
 10000101.1000 -1.0264E-02  1.5334E-15  1.3676E-15  1.2199E-15  1.0884E-15
  9.7118E-16 8.6678E-16 7.7372E-16 6.9072E-16 6.1663E-16 5.5045E-16 4.9129E-16
  4.3842E-16 3.9119E-16 3.4901E-16 3.1136E-16 2.7776E-16 2.4780E-16 2.2106E-16
  1.9722E-16 1.7595E-16 1.5698E-16 1.4005E-16 1.2495E-16 1.1147E-16 9.9435E-17
  8.8696E-17 7.9114E-17 7.0563E-17 6.2931E-17 5.6113E-17 5.0018E-17 4.4562E-17
  3.9670E-17 3.5278E-17 3.1330E-17 2.7883E-17 2.6359E-17 3.6355E-17 9.1348E-17
  2.5534E-16 5.8846E-16 1.0859E-15 1.6548E-15 2.1577E-15 2.4833E-15 2.5869E-15
  2.4897E-15 2.2497E-15 1.9335E-15 1.5969E-15 1.2778E-15 9.9708E-16 7.6265E-16
  5.7414E-16 4.2681E-16 3.1411E-16 2.2935E-16 1.6640E-16 1.2010E-16 8.6357E-17
  6.1895E-17 4.4248E-17 3.1571E-17 2.2492E-17 1.5997E-17 1.1373E-17 8.0773E-18
  5.7329E-18 4.0669E-18 2.8840E-18 2.0445E-18 1.4490E-18 1.0268E-18 7.2750E-19
  5.1540E-19 3.6511E-19 2.5866E-19 1.8322E-19 1.2981E-19 9.1942E-20 6.5171E-20
 10110101.0210 -2.4697E-01  5.0532E-13  4.5033E-13  4.0132E-13  3.5763E-13
  3.1869E-13 2.8398E-13 2.5303E-13 2.2545E-13 2.0085E-13 1.7892E-13 1.5937E-13
  1.4193E-13 1.2637E-13 1.1249E-13 1.0011E-13 8.9060E-14 7.9192E-14 7.0378E-14
  6.2501E-14 5.5457E-14 4.9152E-14 4.3506E-14 3.8444E-14 3.3902E-14 2.9823E-14
  2.6157E-14 2.2861E-14 1.9898E-14 1.7237E-14 1.4849E-14 1.2713E-14 1.0809E-14
  9.1187E-15 7.6286E-15 6.3245E-15 5.1956E-15 4.2494E-15 3.5667E-15 3.3694E-15
  3.9617E-15 5.4785E-15 7.6619E-15 9.9237E-15 1.1645E-14 1.2450E-14 1.2284E-14
  1.1354E-14 9.9471E-15 8.3520E-15 6.7772E-15 5.3497E-15 4.1329E-15 3.1399E-15
  2.3528E-15 1.7452E-15 1.2823E-15 9.3719E-16 6.8158E-16 4.9192E-16 3.5509E-16
  2.5572E-16 1.8367E-16 1.3182E-16 9.4496E-17 6.7684E-17 4.8449E-17 3.4662E-17
  2.4790E-17 1.7725E-17 1.2672E-17 9.0592E-18 6.4770E-18 4.6316E-18 3.3130E-18
  2.3708E-18 1.6975E-18 1.2164E-18 8.7247E-19 6.2657E-19 4.5068E-19 3.2479E-19
 10110101.0310 -1.1005E-01  2.0007E-13  1.7830E-13  1.5890E-13  1.4161E-13
